OriginalIndex,Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar,IntensityDiff,SigmaValue,AlphaValue,ReferenceColor,ControlColor
6871,AT1G35240,p05-r16-c08,ARF,ARF20,Nucleus,Chromosome,-80.92361111111111,-5.296650049854292,0.00027915551885002274,redish,whiteish
6869,AT4G37670,p05-r16-c06,GNAT,NAGS2,Plastid,"Plastid, chloroplast membrane; Plastid, chloroplast stroma",-55.304166666666674,-3.6197941875079045,0.0029905163519394306,redish,whiteish
6215,AT5G44190,p05-r02-c24,G2-like,ATGLK2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome",-51.957142857142856,-3.400723219416322,0.004076583253276154,redish,whiteish
6433,AT1G32640,p05-r07-c02,bHLH,JAI1,Nucleus,"Nucleus, nucleolus; Chromosome",44.224999999999994,2.8946353880968045,0.991660731735511,whiteish,redish
6254,AT4G24240,p05-r03-c15,WRKY,WRKY7,Nucleus,"Nucleus, nucleolus; Chromosome",-43.32083333333334,-2.8354554484682954,0.009067245710231734,redish,whiteish
6195,AT3G52540,p05-r02-c04,OFP,OFP18,Cytoplasm,"Cytoplasm, cytosol",41.297619047619044,2.703031080596467,0.9890652599153226,whiteish,redish
6503,AT5G06250,p05-r08-c24,ABI3-VP1,NGAL3,Nucleus,Chromosome,-39.77142857142858,-2.603138147609305,0.012593928406786734,redish,whiteish
6817,AT4G38180,p05-r15-c02,FAR1,FRS5,Nucleus,Chromosome,37.739285714285714,2.470129382703621,0.9847996626058954,whiteish,redish
6385,AT3G53920,p05-r06-c02,SIGMA70-like,SIG3,Plastid,"Plastid, chloroplast stroma",37.36904761904762,2.445896385699715,0.984269708354663,whiteish,redish
6481,AT1G32640,p05-r08-c02,bHLH,JAI1,Nucleus,"Nucleus, nucleolus; Chromosome",35.824999999999996,2.3448346586448396,0.9818528935702316,whiteish,redish
6482,AT1G02040,p05-r08-c03,C2H2,AT1G02040,Nucleus,Nucleus speckle; Chromosome,35.675000000000004,2.335016788476055,0.9815991715549205,whiteish,redish
6769,AT2G32100,p05-r14-c02,OFP,ATOFP16,Mitochondrion,Mitochondrion inner membrane,32.480357142857144,2.1259195297622866,0.9752678537042916,whiteish,redish
6886,AT5G46350,p05-r16-c23,WRKY,ATWRKY8,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome",30.833333333333343,2.0181177569169364,0.971194723097934,whiteish,redish
